x	y	v
4.593327E−1	1.464857E−1	1.435107E0
5.087705E−1	1.473486E−1	1.542694E0
5.621633E−1	1.482806E−1	1.486027E0
6.075425E−1	1.550070E−1	1.385175E0
6.528527E−1	1.656885E−1	1.403167E0
6.981284E−1	1.783475E−1	1.345531E0
7.394835E−1	1.889599E−1	1.216355E0
7.769182E−1	1.975258E−1	1.180672E0
8.183078E−1	2.061607E−1	1.113483E0
8.518565E−1	2.107025E−1	1.069666E0
8.894292E−1	2.113583E−1	1.127353E0
9.270019E−1	2.120142E−1	1.128914E0
9.646437E−1	2.087150E−1	1.112025E0
1.000377E0	2.014262E−1	1.146321E0
1.040031E0	1.961841E−1	1.259371E0
1.081835E0	1.810888E−1	1.333374E0
1.123639E0	1.659936E−1	1.351079E0
1.167385E0	1.529104E−1	1.454903E0
1.215191E0	1.339637E−1	1.557457E0
1.266813E0	1.229961E−1	1.624126E0
1.322287E0	1.180301E−1	1.636005E0
1.375714E0	1.169845E−1	1.572641E0
